case,label,organ,dice
s0353,14,lung_lower_lobe_right,0.9475
s0223,10,lung_upper_lobe_left,0.9947
s0223,11,lung_lower_lobe_left,0.9844
s0223,12,lung_upper_lobe_right,0.9887
s0223,13,lung_middle_lobe_right,0.9826
s0223,14,lung_lower_lobe_right,0.9869
s0355,10,lung_upper_lobe_left,0.9636
s0355,11,lung_lower_lobe_left,0.9523
s0355,13,lung_middle_lobe_right,0.9685
s0355,14,lung_lower_lobe_right,0.9552
s0052,10,lung_upper_lobe_left,0.1162
s0052,11,lung_lower_lobe_left,0.9659
s0052,13,lung_middle_lobe_right,0.813
s0052,14,lung_lower_lobe_right,0.9862
s0243,10,lung_upper_lobe_left,0.982
s0243,11,lung_lower_lobe_left,0.9872
s0243,13,lung_middle_lobe_right,0.9682
s0243,14,lung_lower_lobe_right,0.9932
s0108,10,lung_upper_lobe_left,0.8464
s0108,11,lung_lower_lobe_left,0.927
s0108,13,lung_middle_lobe_right,0.8629
s0108,14,lung_lower_lobe_right,0.9472
s0086,10,lung_upper_lobe_left,0.9484
s0086,11,lung_lower_lobe_left,0.9394
s0086,12,lung_upper_lobe_right,0.939
s0086,13,lung_middle_lobe_right,0.9563
s0086,14,lung_lower_lobe_right,0.946
s0107,10,lung_upper_lobe_left,0.97
s0107,11,lung_lower_lobe_left,0.9846
s0107,12,lung_upper_lobe_right,0.5938
s0107,13,lung_middle_lobe_right,0.9765
s0107,14,lung_lower_lobe_right,0.9851
s0304,10,lung_upper_lobe_left,0.0075
s0304,11,lung_lower_lobe_left,0.9298
s0304,14,lung_lower_lobe_right,0.9327
s0344,10,lung_upper_lobe_left,0.9947
s0344,11,lung_lower_lobe_left,0.9903
s0344,12,lung_upper_lobe_right,0.9788
s0344,13,lung_middle_lobe_right,0.9432
s0344,14,lung_lower_lobe_right,0.9838
s0262,10,lung_upper_lobe_left,0.9146
s0262,11,lung_lower_lobe_left,0.981
s0262,12,lung_upper_lobe_right,0.6087
s0262,13,lung_middle_lobe_right,0.9653
s0262,14,lung_lower_lobe_right,0.9867
s0012,10,lung_upper_lobe_left,0.9236
s0012,11,lung_lower_lobe_left,0.9743
s0012,12,lung_upper_lobe_right,0.7918
s0012,13,lung_middle_lobe_right,0.9862
s0012,14,lung_lower_lobe_right,0.9916
s0245,10,lung_upper_lobe_left,0.9411
s0245,11,lung_lower_lobe_left,0.9726
s0245,12,lung_upper_lobe_right,0.2937
s0245,13,lung_middle_lobe_right,0.9839
s0245,14,lung_lower_lobe_right,0.9947
s0314,10,lung_upper_lobe_left,0.9432
s0314,11,lung_lower_lobe_left,0.97
s0314,13,lung_middle_lobe_right,0.9498
s0314,14,lung_lower_lobe_right,0.984
s0242,10,lung_upper_lobe_left,0.25
s0242,11,lung_lower_lobe_left,0.8295
s0242,13,lung_middle_lobe_right,0.902
s0147,10,lung_upper_lobe_left,0.9453
s0147,11,lung_lower_lobe_left,0.9796
s0147,12,lung_upper_lobe_right,0.0
s0147,13,lung_middle_lobe_right,0.9284
s0147,14,lung_lower_lobe_right,0.9807
s0221,14,lung_lower_lobe_right,0.4444
